Counts_envelope_Crest_factor,Counts_envelope_Crest_factor.1,Counts_envelope_Crest_factor.2,Counts_envelope_Crest_factor.3,Counts_envelope_Crest_factor.4,Counts_envelope_Crest_factor.5,Counts_envelope_Crest_factor.6,Counts_envelope_Crest_factor.7,Counts_envelope_Crest_factor.8,Counts_envelope_Crest_factor.9,Counts_envelope_Crest_factor.10,Counts_envelope_Crest_factor
2.296575417016608,1.2949413633260858,2.0173320715389886,2.6453176957679174,1.5946434133771463,1.6077738695439276,1.140873176526357,1.1289290677162536,1.5136957673559304,1.2744344153688532,2.446965647980968,2.495955596050912
2.083306396636164,1.3132227647947274,1.200978662711519,3.131252774455334,1.4838633921048865,1.3988401688980288,1.1137471031453394,1.130624813901003,1.4448281241855956,1.1220042292992265,1.5587345173257643,2.147069667605303
2.2873645653359,1.331504166263369,1.0261974473365891,2.473313570771072,1.3905469042262013,2.4937789302382423,1.0866210297643222,1.0527710592223798,1.3536221584252828,1.337447248411744,1.62363682014211,1.9413364785687444
2.269904452749119,1.3497855677320103,1.289542147474401,1.5880803863390962,1.3694874332346068,1.358694491448658,1.0594949563833052,1.038105099734239,1.273630323955394,1.5528902675242613,1.698537842024982,2.088067331263051
2.4209152973243184,1.3680669692006522,1.2115039404774186,1.8767627546216223,9.050161558767789,1.4426527599802217,1.0874644405388203,1.2945503160336211,1.8625555738884945,1.7683332866367787,1.4611560471830392,2.119092477855128
2.531612184729997,1.3863483706692938,1.2083765991982938,1.8816208725773949,1.743376809956439,1.6173628543830896,1.1154339246943354,1.1244407658630156,1.7540313704632575,1.983776305749296,1.0997205900794889,2.0636111036622413
2.2381264608745464,1.4046297721379353,1.2052492579191691,1.338938815520087,1.74589675383928,1.2663393607115925,1.4185391379109682,1.4121178030008144,1.2526142644081084,1.348648473443082,1.7589774595672067,2.213011381899151
1.8776276194283592,1.422911173606577,1.2021219166400443,1.4785786089000523,2.570449275329121,1.1589556981960631,1.247710745451037,1.15902116672123,2.061846482629708,1.161253476506121,1.182731287778859,1.9579676249457616
2.274042855354349,1.4411925750752186,1.3632866075661014,1.8198589652611084,1.56322295228751,1.1780103134867852,1.2909760516556084,1.4428437878193434,1.8266848264830653,1.13265491238806,1.252001058923722,2.270108029759376
1.6629970335608897,1.45947397654386,1.3502714016306447,2.389874195296595,1.4889463571337325,1.1574579608073972,1.2634741673472516,2.06415927925283,1.8616690310676625,1.104056348269999,1.3755931906412904,2.067126069574584
